C.Type,E.Type,C.Env,E.Env,C.Rep,E.Rep,Species,Individual,FrondArea
Ancestral,Modified,5,7,1,A,Wc,5,0.2685
Ancestral,Modified,5,8,2,A,Wc,7,0.2685
Ancestral,Modified,5,8,2,B,Wc,7,0.2685
Ancestral,Original,5,5,2,A,Wc,1,0.2687
Ancestral,Original,5,5,2,A,Wc,1,0.2687
Ancestral,Original,5,5,2,A,Wc,1,0.2687
Ancestral,Original,5,5,2,A,Wc,1,0.2687
Ancestral,Original,5,5,2,A,Wc,1,0.2687
Ancestral,Original,5,5,2,A,Wc,1,0.2687
Ancestral,Original,5,5,2,A,Wc,1,0.2687
Ancestral,Original,5,5,2,A,Wc,1,0.2687
Ancestral,Modified,5,7,1,A,Wc,4,0.2689
Ancestral,Modified,5,7,1,B,Wc,8,0.2698
Ancestral,Modified,5,9,2,A,Wc,1,0.2701
Derived,Original,7,5,2,A,Wc,6,0.2704
Derived,Modified,3,3,2,A,Wc,7,0.2711
Ancestral,Modified,5,7,1,B,Wc,6,0.2714
Derived,Original,7,5,2,B,Wc,3,0.2719
Ancestral,Original,5,5,2,B,Wc,1,0.2726
Ancestral,Original,5,5,2,B,Wc,1,0.2726
Ancestral,Original,5,5,2,B,Wc,1,0.2726
Ancestral,Original,5,5,2,B,Wc,1,0.2726
Ancestral,Original,5,5,2,B,Wc,1,0.2726
Ancestral,Original,5,5,2,B,Wc,1,0.2726
Ancestral,Original,5,5,2,B,Wc,1,0.2726
Ancestral,Original,5,5,2,B,Wc,1,0.2726
Ancestral,Modified,5,6,2,A,Wc,4,0.2728
Derived,Original,7,5,1,B,Wc,8,0.2734
Derived,Modified,6,6,2,B,Wc,7,0.2737
Derived,Original,6,5,1,A,Wc,4,0.2739
Derived,Original,6,5,2,A,Wc,5,0.2739
Derived,Modified,7,7,2,A,Wc,10,0.2749
Ancestral,Modified,5,9,2,A,Wc,6,0.2752
Ancestral,Original,5,5,2,A,Wc,6,0.2762
Ancestral,Original,5,5,2,A,Wc,6,0.2762
Ancestral,Original,5,5,2,A,Wc,6,0.2762
Ancestral,Original,5,5,2,A,Wc,6,0.2762
Ancestral,Original,5,5,2,A,Wc,6,0.2762
Ancestral,Original,5,5,2,A,Wc,6,0.2762
Ancestral,Original,5,5,2,A,Wc,6,0.2762
Ancestral,Original,5,5,2,A,Wc,6,0.2762
Derived,Modified,2,2,1,A,Wc,3,0.2768
Derived,Original,9,5,1,A,Wc,9,0.2772
Ancestral,Modified,5,1,1,B,Wc,4,0.2781
Derived,Modified,3,3,2,B,Wc,5,0.2781
Derived,Original,3,5,2,A,Wc,4,0.2783
Derived,Original,3,5,2,B,Wc,4,0.2783
Derived,Modified,6,6,1,B,Wc,4,0.2783
Derived,Modified,7,7,2,B,Wc,7,0.2787
Derived,Modified,9,9,2,A,Wc,6,0.279
Ancestral,Modified,5,7,1,B,Wc,4,0.2793
